jurisd_base_id,iso2,country_1byte_id
4,AF,2
8,AL,3
12,DZ,4
24,AO,5
31,AZ,6
32,AR,7
36,AU,8
40,AT,9
44,BS,10
50,BD,11
51,AM,12
56,BE,13
64,BT,14
68,BO,15
70,BA,16
72,BW,17
76,BR,18
84,BZ,19
90,SB,20
96,BN,21
100,BG,22
104,MM,23
108,BI,24
112,BY,25
116,KH,26
120,CM,27
124,CA,28
132,CV,29
140,CF,30
144,LK,31
148,TD,32
152,CL,33
156,CN,34
158,TW,35
170,CO,36
178,CG,37
180,CD,38
188,CR,39
191,HR,40
192,CU,41
196,CY,42
203,CZ,43
204,BJ,44
208,DK,45
214,DO,46
218,EC,47
222,SV,48
226,GQ,49
231,ET,50
232,ER,51
233,EE,52
242,FJ,53
246,FI,54
250,FR,55
254,GF,56
262,DJ,57
266,GA,58
268,GE,59
270,GM,60
275,PS,61
276,DE,62
288,GH,63
300,GR,64
312,GP,65
320,GT,66
324,GN,67
328,GY,68
332,HT,69
340,HN,70
348,HU,71
352,IS,72
356,IN,73
360,ID,74
364,IR,75
368,IQ,76
372,IE,77
376,IL,78
380,IT,79
384,CI,80
388,JM,81
392,JP,82
398,KZ,83
400,JO,84
404,KE,85
408,KP,86
410,KR,87
414,KW,88
417,KG,89
418,LA,90
422,LB,91
426,LS,92
428,LV,93
430,LR,94
434,LY,95
440,LT,96
450,MG,97
454,MW,98
458,MY,99
466,ML,100
474,MQ,101
478,MR,102
484,MX,103
496,MN,104
498,MD,105
499,ME,106
504,MA,107
508,MZ,108
512,OM,109
516,NA,110
524,NP,111
528,NL,112
540,NC,113
548,VU,114
554,NZ,115
558,NI,116
562,NE,117
566,NG,118
578,NO,119
586,PK,120
591,PA,121
598,PG,122
600,PY,123
604,PE,124
608,PH,125
616,PL,126
620,PT,127
624,GW,128
626,TL,129
630,PR,130
634,QA,131
638,RE,132
642,RO,133
643,RU,134
646,RW,135
682,SA,136
686,SN,137
688,RS,138
694,SL,139
703,SK,140
704,VN,141
705,SI,142
706,SO,143
710,ZA,144
716,ZW,145
724,ES,146
728,SS,147
729,SD,148
732,EH,149
740,SR,150
748,SZ,151
752,SE,152
756,CH,153
760,SY,154
762,TJ,155
764,TH,156
768,TG,157
780,TT,158
784,AE,159
788,TN,160
792,TR,161
795,TM,162
800,UG,163
804,UA,164
807,MK,165
818,EG,166
826,GB,167
834,TZ,168
840,US,169
854,BF,170
858,UY,171
860,UZ,172
862,VE,173
887,YE,174
894,ZM,175
